TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
42.662388687487685,5710,OTHERS,-85.97887420654297,102.46165466308594,Town03
42.662388687487685,5699,OTHERS,-72.021728515625,131.59220886230472,Town03
42.662388687487685,5676,OTHERS,-65.53569793701172,136.90097045898438,Town03
42.662388687487685,5645,OTHERS,-90.29692840576172,111.68280029296876,Town03
42.662388687487685,5636,OTHERS,-85.92062377929688,111.30516052246094,Town03
42.662388687487685,5610,AV,-72.97758483886719,123.0630111694336,Town03
42.662388687487685,5607,OTHERS,-86.7152328491211,120.62312316894531,Town03
42.662388687487685,5606,OTHERS,-88.92239379882812,118.55560302734376,Town03
42.662388687487685,5491,OTHERS,-90.41950225830078,139.22105407714844,Town03
42.662388687487685,5483,AGENT,-79.22683715820312,116.59042358398438,Town03
42.71238868823275,5710,OTHERS,-86.05107116699219,102.5086669921875,Town03
42.71238868823275,5699,OTHERS,-72.20059967041016,131.635986328125,Town03
42.71238868823275,5676,OTHERS,-65.33229064941406,136.87994384765622,Town03
42.71238868823275,5645,OTHERS,-90.31404876708984,111.70020294189452,Town03
42.71238868823275,5636,OTHERS,-85.95071411132812,111.3768310546875,Town03
42.71238868823275,5610,AV,-72.97572326660156,122.860107421875,Town03
42.71238868823275,5607,OTHERS,-86.78178405761719,120.7451629638672,Town03
42.71238868823275,5606,OTHERS,-88.92240142822266,118.55561065673828,Town03
42.71238868823275,5491,OTHERS,-90.2645034790039,139.43638610839844,Town03
42.71238868823275,5483,AGENT,-79.22865295410156,116.0977020263672,Town03
42.762388688977815,5710,OTHERS,-86.1346435546875,102.56485748291016,Town03
42.762388688977815,5699,OTHERS,-72.37977600097656,131.68026733398438,Town03
42.762388688977815,5696,OTHERS,-88.1175537109375,88.13208770751953,Town03
42.762388688977815,5676,OTHERS,-65.12911987304689,136.85920715332028,Town03
42.762388688977815,5645,OTHERS,-90.34803771972656,111.74440002441406,Town03
42.762388688977815,5636,OTHERS,-85.95773315429688,111.3962860107422,Town03
42.762388688977815,5610,AV,-72.97378540039062,122.65760803222656,Town03
42.762388688977815,5607,OTHERS,-86.85160827636719,120.87322235107422,Town03
42.762388688977815,5606,OTHERS,-88.92240905761719,118.55562591552734,Town03
42.762388688977815,5491,OTHERS,-90.1234359741211,139.64468383789062,Town03
42.762388688977815,5483,AGENT,-79.2305908203125,115.60503387451172,Town03
42.812388689722866,5710,OTHERS,-86.21623992919922,102.62716674804688,Town03
42.812388689722866,5699,OTHERS,-72.55858612060547,131.72500610351562,Town03
42.812388689722866,5696,OTHERS,-88.11705017089844,88.49441528320312,Town03
42.812388689722866,5676,OTHERS,-64.92616271972656,136.83868408203122,Town03
42.812388689722866,5645,OTHERS,-90.37337493896484,111.77960968017578,Town03
42.812388689722866,5636,OTHERS,-85.96830749511719,111.41404724121094,Town03
42.812388689722866,5610,AV,-72.97196960449219,122.45469665527344,Town03
42.812388689722866,5607,OTHERS,-86.92505645751953,121.00770568847656,Town03
42.812388689722866,5606,OTHERS,-88.92240905761719,118.55562591552734,Town03
42.812388689722866,5491,OTHERS,-90.00283813476562,139.8516845703125,Town03
42.812388689722866,5483,AGENT,-79.23271942138672,115.11239624023438,Town03
42.86238869046792,5710,OTHERS,-86.29339599609375,102.69564056396484,Town03
42.86238869046792,5699,OTHERS,-72.73824310302734,131.77021789550778,Town03
42.86238869046792,5696,OTHERS,-88.11611938476562,88.84435272216797,Town03
42.86238869046792,5676,OTHERS,-64.7232666015625,136.82064819335938,Town03
42.86238869046792,5645,OTHERS,-90.37581634521484,111.786865234375,Town03
42.86238869046792,5636,OTHERS,-85.97441101074219,111.42381286621094,Town03
42.86238869046792,5610,AV,-72.97006225585938,122.2521743774414,Town03
42.86238869046792,5607,OTHERS,-86.99925231933594,121.1498031616211,Town03
42.86238869046792,5606,OTHERS,-88.92240905761719,118.55562591552734,Town03
42.86238869046792,5491,OTHERS,-89.9002914428711,140.06219482421878,Town03
42.86238869046792,5483,AGENT,-79.23491668701172,114.61974334716795,Town03
42.912388691212975,5710,OTHERS,-86.36331176757812,102.77019500732422,Town03
42.912388691212975,5699,OTHERS,-72.91902923583984,131.81597900390622,Town03
42.912388691212975,5696,OTHERS,-88.11549377441406,89.18092346191406,Town03
42.912388691212975,5676,OTHERS,-64.52036285400389,136.80517578125,Town03
42.912388691212975,5645,OTHERS,-90.37928771972656,111.81654357910156,Town03
42.912388691212975,5636,OTHERS,-85.97451782226562,111.42391204833984,Town03
42.912388691212975,5610,AV,-72.96826934814453,122.04925537109376,Town03
42.912388691212975,5607,OTHERS,-87.07515716552734,121.2995834350586,Town03
42.912388691212975,5606,OTHERS,-88.92240905761719,118.55562591552734,Town03
42.912388691212975,5491,OTHERS,-89.81066131591797,140.28330993652344,Town03
42.912388691212975,5483,AGENT,-79.23723602294922,114.12702941894531,Town03
42.96238869195803,5710,OTHERS,-86.42513275146484,102.85293579101562,Town03
42.96238869195803,5699,OTHERS,-73.1015625,131.8621826171875,Town03
42.96238869195803,5696,OTHERS,-88.1144027709961,89.50869750976562,Town03
42.96238869195803,5676,OTHERS,-64.31742095947266,136.79112243652344,Town03
42.96238869195803,5645,OTHERS,-90.38096618652344,111.8407974243164,Town03
42.96238869195803,5636,OTHERS,-85.97466278076172,111.42425537109376,Town03
42.96238869195803,5610,AV,-72.96638488769531,121.84671783447266,Town03
42.96238869195803,5607,OTHERS,-87.15384674072266,121.45636749267578,Town03
42.96238869195803,5606,OTHERS,-88.92241668701172,118.55562591552734,Town03
